Microwave II/XT/PC Factory Sounds June 1998	


Sound Programs	
1	Ultra-Wide PAD S
2	CS-80        WMF
3	Ping Pad     WMF
4	A Trip       WMF
5	Wave Choir   WMF
6	Arpsono       WD
7	97 Wave Ride  DN
8	Acid Lemonade  S
9	Atmosphere 2  DN
10	Switch Me    WMF
11	Underwater MW  S
12	Formant Guy    S
13	Freight Night  S
14	chaOSC         T
15	R2D2 upset     S
16	Ammalog      W&W
17	Noisefloor     S
18	Clip-n-zip    DN
19	Paracelsus   WMF
20	Saw it again WMF
21	PluckPad      DN
22	Rhythm Pad   WMF
23	Phase Lock 1 W&W
24	Bigballs      DN
25	BoxStrings   WMF
26	Unisono      WMF
27	HP-404         S
28	Be careful !   T
29	Q-Wheels RAVE RP
30	RingArp      WMF
31	Ben Hur        T
32	Shape it     WMF
33	Electro B    WMF
34	Trash-Box-303  S
35	TanzBein-303   S
36	Dork Acid !    S
37	wArp         WMF
38	StarP        WMF
39	Ongaku         T
40	Talking Arp    T
41	Roundabout     T
42	Rhythm Import  T
43	SO4MA          T
44	Problems ???   T
45	Arp Evolution  T
46	On the Run     T
47	Ahrtal Express T
48	Da Mals      WMF
49	Meisterbussi WMF
50	<Q)  BASS 2     
51	WAPE BASE     RP
52	Tec          WMF
53	Super Fat    WMF
54	HolloSound    DN
55	Syntar       WMF
56	Ambient       DN
57	Sqr Keys      WD
58	SynthFlute   WMF
59	Classic Solo  WD
60	Saw Keys     WMF
61	Rude Spaces   DN
62	Gow2          DN
63	Gow3          DN
64	Cheap Lead   WMF
65	Sine Lead    WMF
66	Filter Lead  WMF
67	Hauchend     WMF
68	Fat Lead     WMF
69	Raver's Ride   T
70	Big Pylo     WMF
71	PolyMoogy    WMF
72	Poly Synth   WMF
73	PolySynth2   WMF
74	Tom's Brass   TK
75	Brassy        DN
76	Synconie 2   WMF
77	FilterSaw    WMF
78	KorgySound    DN
79	CS!           DN
80	Obie SEM      DN
81	PluckPad 2    DN
82	SyndiCat     WMF
83	PolyTics     WMF
84	Sirius organ  GB
85	Sbrass        GB
86	Blade Runner  GB
87	Organ Implant  S
88	Tutench-Amun   T
89	Contrast       T
90	Electro Church T
91	Cassiopeia   WMF
92	Freq Shifter WMF
93	FM Keys      WMF
94	Fuzz Chords  WMF
95	K E M E L      T
96	Noogy         DN
97	Gate Piano   WMF
98	Waveformer     T
99	Gow           DN
100	Sidebands     DN
101	Lotus Flower  GB
102	"Cat Inch ""N""   T"
103	Newton       WMF
104	PhasingClavi WMF
105	Overdrive PlkWMF
106	PPG Plucked  WMF
107	Sync Keys 1   WD
108	Ring Pluck   WMF
109	Spell: P P G!WMF
110	PPG Vibes    WMF
111	Gibran        GB
112	Clipar        WD
113	Stuttgart    WMF
114	Fantasted    WMF
115	Reverbed     WMF
116	Texture2      DN
117	Subtitles    WMF
118	D Bells      WMF
119	Baligong      DN
120	MWave2 Bells WMF
121	VeloBell      DN
122	Bali          DN
123	Crisdrum      GB
124	Airy Pad      DN
125	Single Trig PadS
126	HollowSquare WMF
127	Oxy Rhythm   WMF
128	Wavetrack 1  WMF
129	Hemd aus !!!   T
130	Da Gyls        T
131	Sarafina       T
132	Pad          WMF
